"","source","cases"
"1","day100",5
"2","day100",2
"3","day100",2
"4","day100",2
"5","day100",6
"6","day100",4
"7","day100",8
"8","day100",3
"9","day100",2
"10","day100",2
"11","day100",3
"12","day100",133
"13","day100",1
"14","day100",1
"15","day100",1
"16","day100",1
"17","day100",4
"18","day100",4
"19","day100",69
"20","day100",1
"21","day100",0
"22","day100",3
"23","day100",4
"24","day100",2
"25","day100",13
"26","day100",67
"27","day100",9
"28","day100",1
"29","day100",4
"30","day100",0
"31","day100",5
"32","day100",8
"33","day100",6
"34","day100",73
"35","day100",3
"36","day100",120
"37","day100",0
"38","day100",12
"39","day100",6
"40","day100",3
"41","day100",5
"42","day100",0
"43","day100",5
"44","day100",9
"45","day100",7
"46","day100",8
"47","day100",2
"48","day100",6
"49","day100",5
"50","day100",1
"51","day100",0
"52","day100",5
"53","day100",117
"54","day100",2
"55","day100",8
"56","day100",52
"57","day100",8
"58","day100",7
"59","day100",100
"60","day100",1
"61","day100",5
"62","day100",1
"63","day100",1
"64","day100",8
"65","day100",43
"66","day100",0
"67","day100",5
"68","day100",1
"69","day100",4
"70","day100",8
"71","day100",73
"72","day100",5
"73","day100",1
"74","day100",0
"75","day100",2
"76","day100",53
"77","day100",5
"78","day100",1
"79","day100",6
"80","day100",12
"81","day100",1
"82","day100",0
"83","day100",4
"84","day100",1
"85","day100",2
"86","day100",0
"87","day100",1
"88","day100",5
"89","day100",1
"90","day100",0
"91","day100",0
"92","day100",1
"93","day100",3
"94","day100",5
"95","day100",4
"96","day100",0
"97","day100",5
"98","day100",2
"99","day100",1
"100","day100",42
"101","day100",88
"102","day100",7
"103","day100",79
"104","day100",3
"105","day100",1
"106","day100",1
"107","day100",96
"108","day100",1
"109","day100",7
"110","day100",41
"111","day100",6
"112","day100",6
"113","day100",68
"114","day100",0
"115","day100",0
"116","day100",0
"117","day100",0
"118","day100",8
"119","day100",0
"120","day100",80
"121","day100",4
"122","day100",3
"123","day100",4
"124","day100",5
"125","day100",0
"126","day100",0
"127","day100",62
"128","day100",2
"129","day100",2
"130","day100",10
"131","day100",0
"132","day100",7
"133","day100",2
"134","day100",1
"135","day100",4
"136","day100",7
"137","day100",0
"138","day100",2
"139","day100",1
"140","day100",2
"141","day100",2
"142","day100",1
"143","day100",2
"144","day100",0
"145","day100",62
"146","day100",2
"147","day100",0
"148","day100",3
"149","day100",0
"150","day100",88
"151","day100",3
"152","day100",1
"153","day100",128
"154","day100",2
"155","day100",6
"156","day100",26
"157","day100",2
"158","day100",1
"159","day100",24
"160","day100",3
"161","day100",2
"162","day100",56
"163","day100",106
"164","day100",1
"165","day100",1
"166","day100",44
"167","day100",69
"168","day100",6
"169","day100",9
"170","day100",5
"171","day100",12
"172","day100",0
"173","day100",1
"174","day100",0
"175","day100",4
"176","day100",4
"177","day100",7
"178","day100",2
"179","day100",0
"180","day100",3
"181","day100",12
"182","day100",4
"183","day100",7
"184","day100",3
"185","day100",11
"186","day100",7
"187","day100",0
"188","day100",0
"189","day100",5
"190","day100",1
"191","day100",6
"192","day100",9
"193","day100",3
"194","day100",0
"195","day100",2
"196","day100",0
"197","day100",17
"198","day100",0
"199","day100",1
"200","day100",1
"201","day100",79
"202","day100",11
"203","day100",57
"204","day100",3
"205","day100",98
"206","day100",0
"207","day100",112
"208","day100",4
"209","day100",7
"210","day100",0
"211","day100",2
"212","day100",1
"213","day100",2
"214","day100",1
"215","day100",5
"216","day100",2
"217","day100",1
"218","day100",1
"219","day100",5
"220","day100",1
"221","day100",1
"222","day100",12
"223","day100",53
"224","day100",13
"225","day100",2
"226","day100",3
"227","day100",0
"228","day100",5
"229","day100",2
"230","day100",5
"231","day100",0
"232","day100",2
"233","day100",4
"234","day100",3
"235","day100",5
"236","day100",5
"237","day100",2
"238","day100",11
"239","day100",6
"240","day100",0
"241","day100",4
"242","day100",98
"243","day100",0
"244","day100",4
"245","day100",1
"246","day100",0
"247","day100",0
"248","day100",1
"249","day100",6
"250","day100",0
"251","day100",4
"252","day100",2
"253","day100",63
"254","day100",2
"255","day100",10
"256","day100",6
"257","day100",0
"258","day100",7
"259","day100",0
"260","day100",4
"261","day100",123
"262","day100",27
"263","day100",0
"264","day100",92
"265","day100",2
"266","day100",112
"267","day100",5
"268","day100",0
"269","day100",1
"270","day100",60
"271","day100",4
"272","day100",9
"273","day100",9
"274","day100",0
"275","day100",2
"276","day100",132
"277","day100",4
"278","day100",8
"279","day100",5
"280","day100",57
"281","day100",1
"282","day100",80
"283","day100",29
"284","day100",5
"285","day100",107
"286","day100",5
"287","day100",0
"288","day100",55
"289","day100",8
"290","day100",0
"291","day100",2
"292","day100",55
"293","day100",0
"294","day100",1
"295","day100",0
"296","day100",2
"297","day100",4
"298","day100",1
"299","day100",1
"300","day100",10
"301","day100",0
"302","day100",4
"303","day100",0
"304","day100",8
"305","day100",137
"306","day100",3
"307","day100",6
"308","day100",42
"309","day100",0
"310","day100",1
"311","day100",9
"312","day100",4
"313","day100",0
"314","day100",0
"315","day100",88
"316","day100",1
"317","day100",0
"318","day100",7
"319","day100",17
"320","day100",2
"321","day100",8
"322","day100",1
"323","day100",0
"324","day100",1
"325","day100",120
"326","day100",10
"327","day100",1
"328","day100",13
"329","day100",1
"330","day100",5
"331","day100",10
"332","day100",3
"333","day100",3
"334","day100",8
"335","day100",2
"336","day100",4
"337","day100",11
"338","day100",3
"339","day100",2
"340","day100",0
"341","day100",0
"342","day100",4
"343","day100",0
"344","day100",4
"345","day100",0
"346","day100",6
"347","day100",10
"348","day100",0
"349","day100",5
"350","day100",12
"351","day100",20
"352","day100",5
"353","day100",3
"354","day100",3
"355","day100",10
"356","day100",0
"357","day100",0
"358","day100",5
"359","day100",1
"360","day100",99
"361","day100",10
"362","day100",0
"363","day100",78
"364","day100",1
"365","day100",0
"366","day100",8
"367","day100",0
"368","day100",1
"369","day100",0
"370","day100",5
"371","day100",3
"372","day100",5
"373","day100",96
"374","day100",4
"375","day100",4
"376","day100",1
"377","day100",8
"378","day100",97
"379","day100",8
"380","day100",11
"381","day100",10
"382","day100",3
"383","day100",7
"384","day100",0
"385","day100",2
"386","day100",8
"387","day100",77
"388","day100",7
"389","day100",9
"390","day100",0
"391","day100",104
"392","day100",3
"393","day100",4
"394","day100",1
"395","day100",4
"396","day100",1
"397","day100",4
"398","day100",3
"399","day100",3
"400","day100",0
"401","day100",0
"402","day100",0
"403","day100",2
"404","day100",7
"405","day100",8
"406","day100",1
"407","day100",11
"408","day100",10
"409","day100",3
"410","day100",1
"411","day100",2
"412","day100",3
"413","day100",0
"414","day100",10
"415","day100",4
"416","day100",0
"417","day100",123
"418","day100",44
"419","day100",50
"420","day100",3
"421","day100",3
"422","day100",2
"423","day100",4
"424","day100",6
"425","day100",1
"426","day100",2
"427","day100",1
"428","day100",5
"429","day100",2
"430","day100",2
"431","day100",8
"432","day100",0
"433","day100",4
"434","day100",1
"435","day100",1
"436","day100",3
"437","day100",4
"438","day100",3
"439","day100",0
"440","day100",3
"441","day100",8
"442","day100",4
"443","day100",6
"444","day100",9
"445","day100",2
"446","day100",5
"447","day100",0
"448","day100",0
"449","day100",3
"450","day100",8
"451","day100",6
"452","day100",86
"453","day100",3
"454","day100",0
"455","day100",9
"456","day100",0
"457","day100",1
"458","day100",0
"459","day100",0
"460","day100",91
"461","day100",6
"462","day100",2
"463","day100",0
"464","day100",4
"465","day100",27
"466","day100",0
"467","day100",0
